label,currency,signal,holding_h,n_train,n_test,sharpe,sortino,max_drawdown,win_rate,profit_factor,ann_return,deflated_sharpe
ETH_D3_24h,ETH,D3,24,543,182,3.8302,1.7706,-0.0019,0.4176,1.2795,0.0052,1.0
BTC_D2_24h,BTC,D2,24,66,23,2.1787,0.3693,-0.0016,0.3478,1.4537,0.0009,0.2939
ETH_D2_24h,ETH,D2,24,53,18,1.6591,0.2103,-0.0014,0.2778,1.5285,0.001,0.0
BTC_D2_1h,BTC,D2,1,66,23,1.1838,0.1265,-0.0004,0.6087,1.9337,0.0005,0.0
BTC_D2_8h,BTC,D2,8,66,23,0.577,0.0738,-0.0011,0.4348,1.1419,0.0002,0.0
ETH_D2_8h,ETH,D2,8,53,18,0.3795,0.0303,-0.0007,0.4444,1.1586,0.0002,0.0
BTC_D2_4h,BTC,D2,4,66,23,0.1844,0.0221,-0.0009,0.5217,1.057,0.0001,0.0
BTC_D3_24h,BTC,D3,24,539,180,0.0238,0.0126,-0.0027,0.3444,1.0015,0.0,0.0
BTC_D4_8h,BTC,D4,8,332,111,-0.0406,-0.0122,-0.0018,0.4685,0.9958,-0.0,0.0
ETH_D2_2h,ETH,D2,2,53,18,-0.0566,-0.0046,-0.0007,0.4444,0.9643,-0.0,0.0
ETH_D1_24h,ETH,D1,24,316,106,-0.0816,-0.0262,-0.0036,0.3491,0.9921,-0.0001,0.0
BTC_D1_8h,BTC,D1,8,334,112,-0.1222,-0.0368,-0.0018,0.4643,0.9873,-0.0001,0.0
BTC_D3_8h,BTC,D3,8,539,180,-0.1633,-0.0619,-0.0016,0.4611,0.9855,-0.0001,0.0
BTC_D4_4h,BTC,D4,4,332,111,-0.2427,-0.0641,-0.0013,0.4234,0.966,-0.0002,0.0
BTC_D2_2h,BTC,D2,2,66,23,-0.3183,-0.0404,-0.0008,0.4348,0.8735,-0.0002,0.0
BTC_D1_4h,BTC,D1,4,334,112,-0.3466,-0.0921,-0.0013,0.4196,0.9519,-0.0003,0.0
ETH_D4_4h,ETH,D4,4,312,104,-0.374,-0.0669,-0.0016,0.4904,0.9307,-0.0004,0.0
ETH_D2_1h,ETH,D2,1,53,18,-0.3776,-0.0218,-0.0007,0.5,0.7431,-0.0002,0.0
ETH_D1_4h,ETH,D1,4,316,106,-0.4172,-0.0756,-0.0016,0.4811,0.9231,-0.0004,0.0
ETH_D2_4h,ETH,D2,4,53,18,-0.4946,-0.0376,-0.0007,0.3333,0.791,-0.0003,0.0
ETH_D4_24h,ETH,D4,24,312,104,-0.7739,-0.241,-0.0037,0.3462,0.9263,-0.0008,0.0
ETH_D3_4h,ETH,D3,4,543,182,-0.849,-0.2274,-0.0029,0.467,0.8892,-0.001,0.0
BTC_D4_2h,BTC,D4,2,332,111,-0.9164,-0.1835,-0.0008,0.4595,0.8369,-0.0007,0.0
BTC_D1_2h,BTC,D1,2,334,112,-0.978,-0.1976,-0.0008,0.4464,0.8268,-0.0008,0.0
ETH_D4_8h,ETH,D4,8,312,104,-1.0078,-0.2139,-0.0025,0.4808,0.8637,-0.001,0.0
ETH_D1_1h,ETH,D1,1,316,106,-1.2288,-0.147,-0.0015,0.4151,0.6599,-0.0011,0.0
BTC_D3_4h,BTC,D3,4,539,180,-1.2446,-0.3895,-0.0016,0.4278,0.8549,-0.001,0.0
BTC_D4_1h,BTC,D4,1,332,111,-1.3196,-0.2181,-0.0009,0.4234,0.7088,-0.0011,0.0
ETH_D4_1h,ETH,D4,1,312,104,-1.3388,-0.1549,-0.0015,0.4231,0.6343,-0.0011,0.0
BTC_D1_1h,BTC,D1,1,334,112,-1.366,-0.2269,-0.0009,0.4196,0.7008,-0.0011,0.0
ETH_D1_8h,ETH,D1,8,316,106,-1.4617,-0.3188,-0.0032,0.4717,0.8111,-0.0014,0.0
ETH_D3_8h,ETH,D3,8,543,182,-1.5157,-0.5268,-0.002,0.4396,0.8583,-0.002,0.0
ETH_D3_2h,ETH,D3,2,543,182,-1.6925,-0.337,-0.0027,0.5165,0.7374,-0.002,0.0
ETH_D1_2h,ETH,D1,2,316,106,-1.9768,-0.3302,-0.0025,0.3962,0.6281,-0.0019,0.0
BTC_D4_24h,BTC,D4,24,332,111,-2.0173,-0.8032,-0.0033,0.3153,0.8496,-0.0017,0.0
BTC_D1_24h,BTC,D1,24,334,112,-2.0338,-0.812,-0.0032,0.3125,0.8481,-0.0017,0.0
ETH_D4_2h,ETH,D4,2,312,104,-2.0445,-0.3417,-0.0026,0.3942,0.6178,-0.002,0.0
BTC_D3_2h,BTC,D3,2,539,180,-2.6357,-0.67,-0.0017,0.4333,0.6495,-0.0019,0.0
BTC_D3_1h,BTC,D3,1,539,180,-2.8795,-0.5952,-0.0019,0.3611,0.5191,-0.0022,0.0
ETH_D3_1h,ETH,D3,1,543,182,-3.0413,-0.4938,-0.0032,0.4451,0.4768,-0.0034,0.0
